Instance,Model,Beam_Score,Beam_Time_ms
c101,baseline_bench,320,1586
c101,transformer_bench,320,2293
c101,gat_lstm_bench,310,8497
c101,gat_transformer_bench,320,18106
r101,baseline_bench,198,1530
r101,transformer_bench,198,1709
r101,gat_lstm_bench,198,5509
r101,gat_transformer_bench,198,6716
rc101,baseline_bench,219,1782
rc101,transformer_bench,216,2363
rc101,gat_lstm_bench,219,5265
rc101,gat_transformer_bench,236,6300
pr01,baseline_bench,299,1145
pr01,transformer_bench,278,1491
pr01,gat_lstm_bench,305,9944
pr01,gat_transformer_bench,306,17606
t101,baseline_bench,318,6275
t101,transformer_bench,332,7434
