Instance,Model,Speed_s_per_epoch,Convergence_Epoch,Time_to_Convergence_min,Max_Reward
c101,baseline,0.3518751759529114,1900,11.1,257.15625
c101,transformer,0.5288275789022445,1100,9.7,254.609375
pr01,baseline,0.2517115559577942,5000,21.0,184.5
pr01,transformer,0.34153032398223876,4900,27.9,182.9375
r101,baseline,0.2582719489336014,4600,19.8,109.40625
r101,transformer,0.35846402955055234,3800,22.7,110.21875
rc101,baseline,0.30760007166862485,3400,17.4,148.578125
rc101,transformer,0.39382875418663027,4400,28.9,149.453125
t101,baseline,0.9871688826084137,4500,74.0,775.140625
t101,transformer,1.2638549284934997,3900,82.2,765.46875
